Dataset,Dataset prop,Training Prop,Data normalized,SOM type,Lattice distribution,Lattice width,Lattice height,Neighborhood radius,Learning factor,Tuning factor,Initialization,Distance,Neighborhood function,Training iters,Tuning iters,Tolerance,Models created,Init seed,Set shuffling seed,Av MQE after training,MQE SD after training,Av success,Av failure,Av Precision,Av MQE after test,MQE SD after test,Elapsed time
glass.csv,1.0,0.6,true,Batch,Rectangular,8,7,5,0.8,0.2,Normalized Random,Euclidean,Gaussian,200,0,0.0,30,246830832,1197985434,0.18162974331235943,0.1344908944428562,52.86666666666667,36.13333333333333,59.40074906367041,0.24880198378806742,0.18564901765446296,0:36
glass.csv,1.0,0.6,true,Batch,Rectangular,8,7,5,0.8,0.2,Normalized Random,Euclidean,Gaussian,500,0,0.0,30,1117182738,-1427915211,0.1725912297697545,0.1311603100379733,51.13333333333333,37.86666666666667,57.45318352059924,0.23309619415532346,0.17401924648817083,1:33
glass.csv,1.0,0.6,true,Batch,Rectangular,8,7,5,0.8,0.2,Normalized Random,Euclidean,Gaussian,1000,0,0.0,30,-1891216795,1638593070,0.17393895940320753,0.12802135487086932,52.93333333333333,36.06666666666667,59.4756554307116,0.23707842717198455,0.1753339898035704,3:6
glass.csv,1.0,0.6,true,Batch,Hexagonal,8,7,5,0.8,0.2,Normalized Random,Euclidean,Gaussian,200,0,0.0,30,193221330,1300887099,0.18139234387279587,0.13209131197358973,51.7,37.3,58.08988764044944,0.24730376423724656,0.18440294158636183,0:35
glass.csv,1.0,0.6,true,Batch,Hexagonal,8,7,5,0.8,0.2,Normalized Random,Euclidean,Gaussian,500,0,0.0,30,-1152865518,-1506173973,0.17783722402193172,0.13021368268767197,51.5,37.5,57.865168539325836,0.23474720219418416,0.1690758616313198,1:30
glass.csv,1.0,0.6,true,Batch,Hexagonal,8,7,5,0.8,0.2,Normalized Random,Euclidean,Gaussian,1000,0,0.0,30,1593848260,-1105539564,0.16837285529512297,0.1303139864989778,54.3,34.7,61.01123595505617,0.23252311319709015,0.17876535828325668,3:3
glass.csv,1.0,0.6,false,Batch,Rectangular,8,7,5,0.8,0.2,Random,Euclidean,Gaussian,200,0,0.0,30,-1230375171,-106641428,0.33294810040665673,0.3878636632566931,64.03333333333333,24.966666666666665,71.94756554307115,0.4856810911485916,0.6231095104413938,0:36
glass.csv,1.0,0.6,false,Batch,Rectangular,8,7,5,0.8,0.2,Random,Euclidean,Gaussian,500,0,0.0,30,-890887188,698492171,0.35304575428835633,0.41864325584564654,59.0,30.0,66.29213483146067,0.4889309288952093,0.6025378659386419,1:33
glass.csv,1.0,0.6,false,Batch,Rectangular,8,7,5,0.8,0.2,Random,Euclidean,Gaussian,1000,0,0.0,30,1772951975,-108335151,0.33777291407836996,0.3970477845084272,61.166666666666664,27.833333333333332,68.72659176029964,0.4938335066144048,0.6400795382961496,3:7
glass.csv,1.0,0.6,false,Batch,Hexagonal,8,7,5,0.8,0.2,Random,Euclidean,Gaussian,200,0,0.0,30,-176496428,745340222,0.3617979373194363,0.4410831678177195,63.333333333333336,25.666666666666668,71.16104868913855,0.4972535567196449,0.621038904858401,0:36
glass.csv,1.0,0.6,false,Batch,Hexagonal,8,7,5,0.8,0.2,Random,Euclidean,Gaussian,500,0,0.0,30,1388114767,-1305809011,0.34896864677749934,0.412937363431592,61.03333333333333,27.966666666666665,68.57677902621725,0.4911534777158643,0.6176602478328866,1:31
glass.csv,1.0,0.6,false,Batch,Hexagonal,8,7,5,0.8,0.2,Random,Euclidean,Gaussian,1000,0,0.0,30,1918440638,790684162,0.3377325375284229,0.39801553503310755,62.5,26.5,70.2247191011236,0.4982401654671786,0.6463369259401438,3:4
glass.csv,1.0,0.6,true,Batch,Rectangular,8,7,5,0.8,0.2,Normalized Random,Euclidean,Gaussian,200,0,0.0,30,-852137910,1803672071,0.17218765117334653,0.12897958742628102,53.86666666666667,35.13333333333333,60.52434456928838,0.23540430358930572,0.1802223659444576,0:37
glass.csv,1.0,0.6,true,Batch,Rectangular,8,7,5,0.8,0.2,Normalized Random,Euclidean,Gaussian,500,0,0.0,30,1221274043,401266332,0.1699935204645385,0.131814426569451,53.233333333333334,35.766666666666666,59.812734082397,0.231923503881723,0.18111481064760046,1:26
glass.csv,1.0,0.6,true,Batch,Rectangular,8,7,5,0.8,0.2,Normalized Random,Euclidean,Gaussian,1000,0,0.0,30,-293016046,454482765,0.17906385832070945,0.13724512656116677,53.43333333333333,35.56666666666667,60.0374531835206,0.24419403485661265,0.18740743705849044,2:57
glass.csv,1.0,0.6,true,Batch,Hexagonal,8,7,5,0.8,0.2,Normalized Random,Euclidean,Gaussian,200,0,0.0,30,1372732055,167951290,0.17818279932388212,0.1378422070867734,53.766666666666666,35.233333333333334,60.4119850187266,0.23711620682780898,0.17908929093811693,0:38
glass.csv,1.0,0.6,true,Batch,Hexagonal,8,7,5,0.8,0.2,Normalized Random,Euclidean,Gaussian,500,0,0.0,30,725000418,-1468711232,0.1706162933894481,0.12273806985933718,51.36666666666667,37.63333333333333,57.71535580524345,0.231458949027684,0.17046917113891732,1:30
glass.csv,1.0,0.6,true,Batch,Hexagonal,8,7,5,0.8,0.2,Normalized Random,Euclidean,Gaussian,1000,0,0.0,30,182710338,-1659431799,0.1860432480103699,0.13356823813282354,50.333333333333336,38.666666666666664,56.55430711610487,0.25195551862860566,0.17614677949653806,3:2
glass.csv,1.0,0.6,false,Batch,Rectangular,8,7,5,0.8,0.2,Random,Euclidean,Gaussian,200,0,0.0,30,1864417767,873690891,0.34315111482809874,0.40991553529345237,62.2,26.8,69.8876404494382,0.48146808031932886,0.6061811181788112,0:36
glass.csv,1.0,0.6,false,Batch,Rectangular,8,7,5,0.8,0.2,Random,Euclidean,Gaussian,500,0,0.0,30,1849096543,1521548038,0.3392361685121792,0.3888074168519576,60.96666666666667,28.033333333333335,68.50187265917603,0.4983524776124982,0.6392629146674892,1:30
glass.csv,1.0,0.6,false,Batch,Rectangular,8,7,5,0.8,0.2,Random,Euclidean,Gaussian,1000,0,0.0,30,-909958451,-727728833,0.3347351371053543,0.39369364115729655,62.833333333333336,26.166666666666668,70.59925093632957,0.49212800264168044,0.6341046427411876,3:3
