Dataset,Dataset prop,Training Prop,Data normalized,SOM type,Lattice distribution,Lattice width,Lattice height,Neighborhood radius,Learning factor,Tuning factor,Initialization,Distance,Neighborhood function,Training iters,Tuning iters,Tolerance,Models created,Init seed,Set shuffling seed,Av MQE after training,MQE SD after training,Av success,Av failure,Av Precision,Av MQE after test,MQE SD after test,Elapsed time
wine.csv,1.0,0.6,true,Batch,Rectangular,7,7,4,0.8,0.2,Normalized Random,Euclidean,Gaussian,200,0,0.0,30,-839939080,-1347218820,0.326913690681966,0.15811750982892142,68.56666666666666,4.433333333333334,93.92694063926943,0.41973612130274535,0.18576486215663285,0:35
wine.csv,1.0,0.6,true,Batch,Rectangular,7,7,4,0.8,0.2,Normalized Random,Euclidean,Gaussian,500,0,0.0,30,227756724,-1090310193,0.3332009423357325,0.1624957800347248,69.53333333333333,3.466666666666667,95.2511415525114,0.4245218397297164,0.18860246258919053,1:28
wine.csv,1.0,0.6,true,Batch,Rectangular,7,7,4,0.8,0.2,Normalized Random,Euclidean,Gaussian,1000,0,0.0,30,15277089,-96165304,0.33188744931332675,0.15648144977955578,68.96666666666667,4.033333333333333,94.47488584474883,0.42388525574168495,0.185663631292178,2:57
wine.csv,1.0,0.6,true,Batch,Hexagonal,7,7,4,0.8,0.2,Normalized Random,Euclidean,Gaussian,200,0,0.0,30,-1289201566,-1484565619,0.32752937285067174,0.15949541418990545,68.86666666666666,4.133333333333334,94.33789954337901,0.41724841201039636,0.187595669683683,0:35
wine.csv,1.0,0.6,true,Batch,Hexagonal,7,7,4,0.8,0.2,Normalized Random,Euclidean,Gaussian,500,0,0.0,30,1503378246,2070018736,0.3341506950039252,0.1633525934350201,69.0,4.0,94.52054794520546,0.4258365696693028,0.19037639014876315,1:28
wine.csv,1.0,0.6,true,Batch,Hexagonal,7,7,4,0.8,0.2,Normalized Random,Euclidean,Gaussian,1000,0,0.0,30,-468389044,493137755,0.3310860000949684,0.15911491684909768,69.2,3.8,94.79452054794521,0.42285834946279954,0.18678522831869845,2:55
wine.csv,1.0,0.6,false,Batch,Rectangular,7,7,4,0.8,0.2,Random,Euclidean,Gaussian,200,0,0.0,30,976188501,-956192038,9.245956249150085,11.322830374273753,53.96666666666667,19.033333333333335,73.9269406392694,12.439547292118256,14.000878576226288,0:36
wine.csv,1.0,0.6,false,Batch,Rectangular,7,7,4,0.8,0.2,Random,Euclidean,Gaussian,500,0,0.0,30,1634501555,1744796667,9.077016387757274,10.261906796056394,54.5,18.5,74.65753424657535,12.623138111850153,14.42698485862432,1:28
wine.csv,1.0,0.6,false,Batch,Rectangular,7,7,4,0.8,0.2,Random,Euclidean,Gaussian,1000,0,0.0,30,569432109,-782075064,9.059036163606711,11.059530766652529,52.5,20.5,71.91780821917808,12.702423133946688,15.394400199154402,3:1
wine.csv,1.0,0.6,false,Batch,Hexagonal,7,7,4,0.8,0.2,Random,Euclidean,Gaussian,200,0,0.0,30,79930076,1669394841,9.401513992074145,10.64722209519132,54.0,19.0,73.97260273972604,12.457996112091267,13.891203337449504,0:35
wine.csv,1.0,0.6,false,Batch,Hexagonal,7,7,4,0.8,0.2,Random,Euclidean,Gaussian,500,0,0.0,30,-136011449,1537768383,9.060198765956272,10.44852305546251,54.6,18.4,74.79452054794523,12.702671863474896,14.505207122113854,1:29
wine.csv,1.0,0.6,false,Batch,Hexagonal,7,7,4,0.8,0.2,Random,Euclidean,Gaussian,1000,0,0.0,30,581053322,1835617077,9.272949975254459,10.816943775363457,53.06666666666667,19.933333333333334,72.69406392694064,13.121068155880995,15.344789791175645,3:0
wine.csv,1.0,0.6,true,Batch,Rectangular,7,7,4,0.8,0.2,Normalized Random,Euclidean,Gaussian,200,0,0.0,30,1105074991,1501045792,0.3329337311464434,0.15663685455708276,67.83333333333333,5.166666666666667,92.92237442922374,0.421355219732272,0.18463901632999688,0:36
